cum_budget,optimizer,budget,performance,seed
10000000,Random Search,10000000.0,-624.9348933333334,0.0
10100000,Random Search,,-624.9348933333334,0.0
10200000,Random Search,,-624.9348933333334,0.0
10300000,Random Search,,-624.9348933333334,0.0
10400000,Random Search,,-624.9348933333334,0.0
10500000,Random Search,,-624.9348933333334,0.0
10600000,Random Search,,-624.9348933333334,0.0
10700000,Random Search,,-624.9348933333334,0.0
10800000,Random Search,,-624.9348933333334,0.0
10900000,Random Search,,-624.9348933333334,0.0
11000000,Random Search,,-624.9348933333334,0.0
11100000,Random Search,,-624.9348933333334,0.0
11200000,Random Search,,-624.9348933333334,0.0
11300000,Random Search,,-624.9348933333334,0.0
11400000,Random Search,,-624.9348933333334,0.0
11500000,Random Search,,-624.9348933333334,0.0
11600000,Random Search,,-624.9348933333334,0.0
11700000,Random Search,,-624.9348933333334,0.0
11800000,Random Search,,-624.9348933333334,0.0
11900000,Random Search,,-624.9348933333334,0.0
12000000,Random Search,,-624.9348933333334,0.0
12100000,Random Search,,-624.9348933333334,0.0
12200000,Random Search,,-624.9348933333334,0.0
12300000,Random Search,,-624.9348933333334,0.0
12400000,Random Search,,-624.9348933333334,0.0
12500000,Random Search,,-624.9348933333334,0.0
12600000,Random Search,,-624.9348933333334,0.0
12700000,Random Search,,-624.9348933333334,0.0
12800000,Random Search,,-624.9348933333334,0.0
12900000,Random Search,,-624.9348933333334,0.0
13000000,Random Search,,-624.9348933333334,0.0
13100000,Random Search,,-624.9348933333334,0.0
13200000,Random Search,,-624.9348933333334,0.0
13300000,Random Search,,-624.9348933333334,0.0
13400000,Random Search,,-624.9348933333334,0.0
13500000,Random Search,,-624.9348933333334,0.0
13600000,Random Search,,-624.9348933333334,0.0
13700000,Random Search,,-624.9348933333334,0.0
13800000,Random Search,,-624.9348933333334,0.0
13900000,Random Search,,-624.9348933333334,0.0
14000000,Random Search,,-624.9348933333334,0.0
14100000,Random Search,,-624.9348933333334,0.0
14200000,Random Search,,-624.9348933333334,0.0
14300000,Random Search,,-624.9348933333334,0.0
14400000,Random Search,,-624.9348933333334,0.0
14500000,Random Search,,-624.9348933333334,0.0
14600000,Random Search,,-624.9348933333334,0.0
14700000,Random Search,,-624.9348933333334,0.0
14800000,Random Search,,-624.9348933333334,0.0
14900000,Random Search,,-624.9348933333334,0.0
15000000,Random Search,,-624.9348933333334,0.0
15100000,Random Search,,-624.9348933333334,0.0
15200000,Random Search,,-624.9348933333334,0.0
15300000,Random Search,,-624.9348933333334,0.0
15400000,Random Search,,-624.9348933333334,0.0
15500000,Random Search,,-624.9348933333334,0.0
15600000,Random Search,,-624.9348933333334,0.0
15700000,Random Search,,-624.9348933333334,0.0
15800000,Random Search,,-624.9348933333334,0.0
15900000,Random Search,,-624.9348933333334,0.0
16000000,Random Search,,-624.9348933333334,0.0
16100000,Random Search,,-624.9348933333334,0.0
16200000,Random Search,,-624.9348933333334,0.0
16300000,Random Search,,-624.9348933333334,0.0
16400000,Random Search,,-624.9348933333334,0.0
16500000,Random Search,,-624.9348933333334,0.0
16600000,Random Search,,-624.9348933333334,0.0
16700000,Random Search,,-624.9348933333334,0.0
16800000,Random Search,,-624.9348933333334,0.0
16900000,Random Search,,-624.9348933333334,0.0
17000000,Random Search,,-624.9348933333334,0.0
17100000,Random Search,,-624.9348933333334,0.0
17200000,Random Search,,-624.9348933333334,0.0
17300000,Random Search,,-624.9348933333334,0.0
17400000,Random Search,,-624.9348933333334,0.0
17500000,Random Search,,-624.9348933333334,0.0
17600000,Random Search,,-624.9348933333334,0.0
17700000,Random Search,,-624.9348933333334,0.0
17800000,Random Search,,-624.9348933333334,0.0
17900000,Random Search,,-624.9348933333334,0.0
18000000,Random Search,,-624.9348933333334,0.0
18100000,Random Search,,-624.9348933333334,0.0
18200000,Random Search,,-624.9348933333334,0.0
18300000,Random Search,,-624.9348933333334,0.0
18400000,Random Search,,-624.9348933333334,0.0
18500000,Random Search,,-624.9348933333334,0.0
18600000,Random Search,,-624.9348933333334,0.0
18700000,Random Search,,-624.9348933333334,0.0
18800000,Random Search,,-624.9348933333334,0.0
18900000,Random Search,,-624.9348933333334,0.0
19000000,Random Search,,-624.9348933333334,0.0
19100000,Random Search,,-624.9348933333334,0.0
19200000,Random Search,,-624.9348933333334,0.0
19300000,Random Search,,-624.9348933333334,0.0
19400000,Random Search,,-624.9348933333334,0.0
19500000,Random Search,,-624.9348933333334,0.0
19600000,Random Search,,-624.9348933333334,0.0
19700000,Random Search,,-624.9348933333334,0.0
19800000,Random Search,,-624.9348933333334,0.0
19900000,Random Search,,-624.9348933333334,0.0
20000000,Random Search,10000000.0,-1811.1979599999995,0.0
20100000,Random Search,,-1811.1979599999995,0.0
20200000,Random Search,,-1811.1979599999995,0.0
20300000,Random Search,,-1811.1979599999995,0.0
20400000,Random Search,,-1811.1979599999995,0.0
20500000,Random Search,,-1811.1979599999995,0.0
20600000,Random Search,,-1811.1979599999995,0.0
20700000,Random Search,,-1811.1979599999995,0.0
20800000,Random Search,,-1811.1979599999995,0.0
20900000,Random Search,,-1811.1979599999995,0.0
21000000,Random Search,,-1811.1979599999995,0.0
21100000,Random Search,,-1811.1979599999995,0.0
21200000,Random Search,,-1811.1979599999995,0.0
21300000,Random Search,,-1811.1979599999995,0.0
21400000,Random Search,,-1811.1979599999995,0.0
21500000,Random Search,,-1811.1979599999995,0.0
21600000,Random Search,,-1811.1979599999995,0.0
21700000,Random Search,,-1811.1979599999995,0.0
21800000,Random Search,,-1811.1979599999995,0.0
21900000,Random Search,,-1811.1979599999995,0.0
22000000,Random Search,,-1811.1979599999995,0.0
22100000,Random Search,,-1811.1979599999995,0.0
22200000,Random Search,,-1811.1979599999995,0.0
22300000,Random Search,,-1811.1979599999995,0.0
22400000,Random Search,,-1811.1979599999995,0.0
22500000,Random Search,,-1811.1979599999995,0.0
22600000,Random Search,,-1811.1979599999995,0.0
22700000,Random Search,,-1811.1979599999995,0.0
22800000,Random Search,,-1811.1979599999995,0.0
22900000,Random Search,,-1811.1979599999995,0.0
23000000,Random Search,,-1811.1979599999995,0.0
23100000,Random Search,,-1811.1979599999995,0.0
23200000,Random Search,,-1811.1979599999995,0.0
23300000,Random Search,,-1811.1979599999995,0.0
23400000,Random Search,,-1811.1979599999995,0.0
23500000,Random Search,,-1811.1979599999995,0.0
23600000,Random Search,,-1811.1979599999995,0.0
23700000,Random Search,,-1811.1979599999995,0.0
23800000,Random Search,,-1811.1979599999995,0.0
23900000,Random Search,,-1811.1979599999995,0.0
24000000,Random Search,,-1811.1979599999995,0.0
24100000,Random Search,,-1811.1979599999995,0.0
24200000,Random Search,,-1811.1979599999995,0.0
24300000,Random Search,,-1811.1979599999995,0.0
24400000,Random Search,,-1811.1979599999995,0.0
24500000,Random Search,,-1811.1979599999995,0.0
24600000,Random Search,,-1811.1979599999995,0.0
24700000,Random Search,,-1811.1979599999995,0.0
24800000,Random Search,,-1811.1979599999995,0.0
24900000,Random Search,,-1811.1979599999995,0.0
25000000,Random Search,,-1811.1979599999995,0.0
25100000,Random Search,,-1811.1979599999995,0.0
25200000,Random Search,,-1811.1979599999995,0.0
25300000,Random Search,,-1811.1979599999995,0.0
25400000,Random Search,,-1811.1979599999995,0.0
25500000,Random Search,,-1811.1979599999995,0.0
25600000,Random Search,,-1811.1979599999995,0.0
25700000,Random Search,,-1811.1979599999995,0.0
25800000,Random Search,,-1811.1979599999995,0.0
25900000,Random Search,,-1811.1979599999995,0.0
26000000,Random Search,,-1811.1979599999995,0.0
26100000,Random Search,,-1811.1979599999995,0.0
26200000,Random Search,,-1811.1979599999995,0.0
26300000,Random Search,,-1811.1979599999995,0.0
26400000,Random Search,,-1811.1979599999995,0.0
26500000,Random Search,,-1811.1979599999995,0.0
26600000,Random Search,,-1811.1979599999995,0.0
26700000,Random Search,,-1811.1979599999995,0.0
26800000,Random Search,,-1811.1979599999995,0.0
26900000,Random Search,,-1811.1979599999995,0.0
27000000,Random Search,,-1811.1979599999995,0.0
27100000,Random Search,,-1811.1979599999995,0.0
27200000,Random Search,,-1811.1979599999995,0.0
27300000,Random Search,,-1811.1979599999995,0.0
27400000,Random Search,,-1811.1979599999995,0.0
27500000,Random Search,,-1811.1979599999995,0.0
27600000,Random Search,,-1811.1979599999995,0.0
27700000,Random Search,,-1811.1979599999995,0.0
27800000,Random Search,,-1811.1979599999995,0.0
27900000,Random Search,,-1811.1979599999995,0.0
28000000,Random Search,,-1811.1979599999995,0.0
28100000,Random Search,,-1811.1979599999995,0.0
28200000,Random Search,,-1811.1979599999995,0.0
28300000,Random Search,,-1811.1979599999995,0.0
28400000,Random Search,,-1811.1979599999995,0.0
28500000,Random Search,,-1811.1979599999995,0.0
28600000,Random Search,,-1811.1979599999995,0.0
28700000,Random Search,,-1811.1979599999995,0.0
28800000,Random Search,,-1811.1979599999995,0.0
28900000,Random Search,,-1811.1979599999995,0.0
29000000,Random Search,,-1811.1979599999995,0.0
